Date,time,PM10,status,unit,"Nitric oxide",status,unit,"Nitrogen dioxide",status,unit,"Nitrogen oxides as nitrogen dioxide",status,unit,"Non-volatile PM<sub>10</sub> (Hourly measured)",status,unit,"Volatile PM<sub>10</sub> (Hourly measured)",status,unit
01-01-2018,01:00,6.400,R,ugm-3 (TEOM FDMS),4.45978,R,ugm-3,3.59864,R,ugm-3,10.43688,R,ugm-3,7.100,R,ugm-3 (TEOM FDMS),-0.700,R,ugm-3 (TEOM FDMS)
01-01-2018,02:00,6.400,R,ugm-3 (TEOM FDMS),6.26172,R,ugm-3,10.22190,R,ugm-3,19.82307,R,ugm-3,5.800,R,ugm-3 (TEOM FDMS),0.600,R,ugm-3 (TEOM FDMS)
01-01-2018,03:00,4.700,R,ugm-3 (TEOM FDMS),5.77745,R,ugm-3,9.42342,R,ugm-3,18.28205,R,ugm-3,3.200,R,ugm-3 (TEOM FDMS),1.500,R,ugm-3 (TEOM FDMS)
01-01-2018,04:00,3.900,R,ugm-3 (TEOM FDMS),3.47998,R,ugm-3,6.79960,R,ugm-3,12.13550,R,ugm-3,3.000,R,ugm-3 (TEOM FDMS),0.900,R,ugm-3 (TEOM FDMS)
01-01-2018,05:00,10.100,R,ugm-3 (TEOM FDMS),2.26368,R,ugm-3,4.51434,R,ugm-3,7.98526,R,ugm-3,8.000,R,ugm-3 (TEOM FDMS),2.100,R,ugm-3 (TEOM FDMS)
01-01-2018,06:00,11.300,R,ugm-3 (TEOM FDMS),0.84466,R,ugm-3,3.53807,R,ugm-3,4.83319,R,ugm-3,10.400,R,ugm-3 (TEOM FDMS),0.900,R,ugm-3 (TEOM FDMS)
01-01-2018,07:00,15.200,R,ugm-3 (TEOM FDMS),2.70290,R,ugm-3,11.14319,R,ugm-3,15.28758,R,ugm-3,13.200,R,ugm-3 (TEOM FDMS),2.000,R,ugm-3 (TEOM FDMS)
01-01-2018,08:00,21.800,R,ugm-3 (TEOM FDMS),6.52075,R,ugm-3,43.42939,R,ugm-3,53.42772,R,ugm-3,18.500,R,ugm-3 (TEOM FDMS),3.300,R,ugm-3 (TEOM FDMS)
01-01-2018,09:00,17.900,R,ugm-3 (TEOM FDMS),5.13551,R,ugm-3,42.71651,R,ugm-3,50.59085,R,ugm-3,19.000,R,ugm-3 (TEOM FDMS),-1.100,R,ugm-3 (TEOM FDMS)
01-01-2018,10:00,8.800,R,ugm-3 (TEOM FDMS),3.71649,R,ugm-3,11.95310,R,ugm-3,17.65164,R,ugm-3,8.300,R,ugm-3 (TEOM FDMS),0.500,R,ugm-3 (TEOM FDMS)
