Date,time,PM10,status,unit,Nitric oxide,status,unit,Nitrogen dioxide,status,unit,Nitrogen oxides as nitrogen dioxide,status,unit,Non-volatile PM<sub>10</sub> (Hourly measured),status,unit,Non-volatile PM<sub>2.5</sub> (Hourly measured),status,unit,Ozone,status,unit,PM<sub>2.5</sub> particulate matter (Hourly measured),status,unit,Sulphur dioxide,status,unit,Volatile PM<sub>10</sub> (Hourly measured),status,unit,Volatile PM<sub>2.5</sub> (Hourly measured),status,unit
01-01-2018,01:00,0.100,R,ugm-3 (TEOM FDMS),3.50253,R,ugm-3,35.04510,R,ugm-3,40.41558,R,ugm-3,2.100,R,ugm-3 (TEOM FDMS),6.100,R,ugm-3 (TEOM FDMS),53.43102,R,ugm-3,10.100,R,ugm-3 (TEOM FDMS),1.83199,R,ugm-3,-2.000,R,ugm-3 (TEOM FDMS),4.000,R,ugm-3 (TEOM FDMS)
01-01-2018,02:00,9.200,R,ugm-3 (TEOM FDMS),2.30755,R,ugm-3,24.36929,R,ugm-3,27.90749,R,ugm-3,6.800,R,ugm-3 (TEOM FDMS),6.700,R,ugm-3 (TEOM FDMS),60.36819,R,ugm-3,10.300,R,ugm-3 (TEOM FDMS),1.22133,R,ugm-3,2.400,R,ugm-3 (TEOM FDMS),3.600,R,ugm-3 (TEOM FDMS)
01-01-2018,03:00,9.000,R,ugm-3 (TEOM FDMS),3.33771,R,ugm-3,27.88097,R,ugm-3,32.99872,R,ugm-3,3.600,R,ugm-3 (TEOM FDMS),4.500,R,ugm-3 (TEOM FDMS),57.34240,R,ugm-3,8.400,R,ugm-3 (TEOM FDMS),1.70114,R,ugm-3,5.400,R,ugm-3 (TEOM FDMS),3.900,R,ugm-3 (TEOM FDMS)
01-01-2018,04:00,7.600,R,ugm-3 (TEOM FDMS),1.97790,R,ugm-3,24.02621,R,ugm-3,27.05895,R,ugm-3,3.800,R,ugm-3 (TEOM FDMS),0.200,R,ugm-3 (TEOM FDMS),58.06195,R,ugm-3,2.100,R,ugm-3 (TEOM FDMS),1.37400,R,ugm-3,3.800,R,ugm-3 (TEOM FDMS),1.900,R,ugm-3 (TEOM FDMS)
01-01-2018,05:00,12.700,R,ugm-3 (TEOM FDMS),2.62690,R,ugm-3,20.62690,R,ugm-3,24.65476,R,ugm-3,10.000,R,ugm-3 (TEOM FDMS),4.000,R,ugm-3 (TEOM FDMS),59.22430,R,ugm-3,5.800,R,ugm-3 (TEOM FDMS),1.37400,R,ugm-3,2.700,R,ugm-3 (TEOM FDMS),1.800,R,ugm-3 (TEOM FDMS)
01-01-2018,06:00,17.700,R,ugm-3 (TEOM FDMS),1.45252,R,ugm-3,19.45770,R,ugm-3,21.68487,R,ugm-3,12.800,R,ugm-3 (TEOM FDMS),2.400,R,ugm-3 (TEOM FDMS),63.15413,R,ugm-3,4.100,R,ugm-3 (TEOM FDMS),1.57028,R,ugm-3,4.900,R,ugm-3 (TEOM FDMS),1.700,R,ugm-3 (TEOM FDMS)
01-01-2018,07:00,19.300,R,ugm-3 (TEOM FDMS),0.98895,R,ugm-3,10.55173,R,ugm-3,12.06810,R,ugm-3,14.700,R,ugm-3 (TEOM FDMS),2.800,R,ugm-3 (TEOM FDMS),73.78130,R,ugm-3,7.000,R,ugm-3 (TEOM FDMS),1.83199,R,ugm-3,4.600,R,ugm-3 (TEOM FDMS),4.200,R,ugm-3 (TEOM FDMS)
01-01-2018,08:00,23.800,R,ugm-3 (TEOM FDMS),2.16333,R,ugm-3,34.06578,R,ugm-3,37.38284,R,ugm-3,20.100,R,ugm-3 (TEOM FDMS),3.600,R,ugm-3 (TEOM FDMS),47.04734,R,ugm-3,5.200,R,ugm-3 (TEOM FDMS),2.15913,R,ugm-3,3.700,R,ugm-3 (TEOM FDMS),1.600,R,ugm-3 (TEOM FDMS)
01-01-2018,09:00,25.800,R,ugm-3 (TEOM FDMS),4.01761,R,ugm-3,39.00085,R,ugm-3,45.16111,R,ugm-3,22.600,R,ugm-3 (TEOM FDMS),7.800,R,ugm-3 (TEOM FDMS),43.28355,R,ugm-3,9.700,R,ugm-3 (TEOM FDMS),2.74799,R,ugm-3,3.200,R,ugm-3 (TEOM FDMS),1.900,R,ugm-3 (TEOM FDMS)
01-01-2018,10:00,10.900,R,ugm-3 (TEOM FDMS),1.01986,R,ugm-3,13.04996,R,ugm-3,14.61372,R,ugm-3,9.000,R,ugm-3 (TEOM FDMS),3.000,R,ugm-3 (TEOM FDMS),73.67060,R,ugm-3,5.400,R,ugm-3 (TEOM FDMS),2.81342,R,ugm-3,1.900,R,ugm-3 (TEOM FDMS),2.400,R,ugm-3 (TEOM FDMS)
01-01-2018,11:00,14.500,R,ugm-3 (TEOM FDMS),2.19423,R,ugm-3,21.14889,R,ugm-3,24.51334,R,ugm-3,10.700,R,ugm-3 (TEOM FDMS),2.600,R,ugm-3 (TEOM FDMS),60.60804,R,ugm-3,3.600,R,ugm-3 (TEOM FDMS),2.28999,R,ugm-3,3.800,R,ugm-3 (TEOM FDMS),1.000,R,ugm-3 (TEOM FDMS)
01-01-2018,12:00,6.400,R,ugm-3 (TEOM FDMS),3.80128,R,ugm-3,31.60143,R,ugm-3,37.42998,R,ugm-3,6.300,R,ugm-3 (TEOM FDMS),4.300,R,ugm-3 (TEOM FDMS),52.19487,R,ugm-3,2.900,R,ugm-3 (TEOM FDMS),2.55171,R,ugm-3,0.100,R,ugm-3 (TEOM FDMS),-1.400,R,ugm-3 (TEOM FDMS)
