date,time,tempC,tempF,windspeedMiles,windspeedKmph,winddirdegree,winddir16point,weatherCode,weatherIconUrl,weatherDesc,precipMM,humidity,visibilityKm,pressureMB,cloudcover,HeatIndexC,HeatIndexF,DewPointC,DewPointF,WindChillC,WindChillF,WindGustMiles,WindGustKmph,FeelsLikeC,FeelsLikeF
2018-01-01,0,7,44,19,30,267,W,176,http://cdn.worldweatheronline.net/images/wsymbols01_png_64/wsymbol_0025_light_rain_showers_night.png,Patchy rain possible,0.3,73,9,1000,87,7,45,3,37,3,37,30,48,3,37
2018-01-01,100,7,44,19,30,262,W,176,http://cdn.worldweatheronline.net/images/wsymbols01_png_64/wsymbol_0025_light_rain_showers_night.png,Patchy rain possible,0.2,73,9,1000,75,7,45,3,37,3,37,30,48,3,37
2018-01-01,200,7,44,19,30,258,WSW,116,http://cdn.worldweatheronline.net/images/wsymbols01_png_64/wsymbol_0004_black_low_cloud.png,Partly cloudy,0.1,72,10,1001,62,7,45,3,37,3,37,30,49,3,37
2018-01-01,300,7,44,19,30,253,WSW,116,http://cdn.worldweatheronline.net/images/wsymbols01_png_64/wsymbol_0004_black_low_cloud.png,Partly cloudy,0.0,72,10,1001,50,7,45,3,37,3,37,31,49,3,37
2018-01-01,400,7,45,18,28,249,WSW,116,http://cdn.worldweatheronline.net/images/wsymbols01_png_64/wsymbol_0004_black_low_cloud.png,Partly cloudy,0.0,72,10,1001,46,7,45,3,37,3,38,29,47,3,38
2018-01-01,500,7,45,16,26,246,WSW,116,http://cdn.worldweatheronline.net/images/wsymbols01_png_64/wsymbol_0004_black_low_cloud.png,Partly cloudy,0.0,72,10,1001,42,7,45,3,37,3,38,28,45,3,38
2018-01-01,600,7,45,15,24,243,WSW,116,http://cdn.worldweatheronline.net/images/wsymbols01_png_64/wsymbol_0004_black_low_cloud.png,Partly cloudy,0.0,72,10,1001,38,7,45,3,37,4,38,26,42,4,38
2018-01-01,700,7,45,13,21,232,SW,116,http://cdn.worldweatheronline.net/images/wsymbols01_png_64/wsymbol_0004_black_low_cloud.png,Partly cloudy,0.1,76,7,999,59,7,45,3,38,4,39,22,35,4,39
2018-01-01,800,8,46,10,17,222,SW,266,http://cdn.worldweatheronline.net/images/wsymbols01_png_64/wsymbol_0033_cloudy_with_light_rain_night.png,Light drizzle,0.2,80,5,997,79,7,45,4,40,5,40,17,28,5,40
2018-01-01,900,8,46,8,13,212,SSW,266,http://cdn.worldweatheronline.net/images/wsymbols01_png_64/wsymbol_0017_cloudy_with_light_rain.png,Light drizzle,0.3,84,2,996,100,7,45,5,41,5,41,13,21,5,41
